"","Especie","Registros","GBIF","CBC","Reino","Filo","Clase","Orden","Familia","Género"
"1","Aa leucantha",1,"https://www.gbif.org/species/5325274",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Aa"
"2","Abatia parviflora",18,"https://www.gbif.org/species/3878235",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Abatia"
"3","Abelmoschus esculentus",1,"https://www.gbif.org/species/3152707",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abelmoschus"
"4","Abracris flavolineata",2,"https://www.gbif.org/species/1703595",NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Abracris"
"5","Abrodictyum rigidum",5,"https://www.gbif.org/species/3606920",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Abrodictyum"
"6","Abrus precatorius",1,"https://www.gbif.org/species/5348711","https://catalogo.biodiversidad.co/file/595d28022f4fd7bc7f3a14dc/summary","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abrus"
"7","Aburria aburri",91,"https://www.gbif.org/species/2482313",NA,"Animalia","Chordata","Aves","Galliformes","Cracidae","Aburria"
"8","Abutilon bivalve",1,"https://www.gbif.org/species/10715853",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"9","Abutilon mollissimum",17,"https://www.gbif.org/species/7115839",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"10","Acacia baileyana",25,"https://www.gbif.org/species/2981303",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"11","Acacia dealbata",3,"https://www.gbif.org/species/2979474",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"12","Acacia decurrens",19,"https://www.gbif.org/species/2979778","https://catalogo.biodiversidad.co/file/56c3d1e2f0106c67230e7360/summary","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"13","Acacia longifolia",1,"https://www.gbif.org/species/2978730",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"14","Acacia mearnsii",6,"https://www.gbif.org/species/2979775",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"15","Acacia melanoxylon",46,"https://www.gbif.org/species/2979000","https://catalogo.biodiversidad.co/file/595e5f352f4fd7bc7f3a210a/summary","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"16","Acaciella angustissima",21,"https://www.gbif.org/species/2981071",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acaciella"
"17","Acaena cylindristachya",296,"https://www.gbif.org/species/5371112","https://catalogo.biodiversidad.co/file/56c40215f0106c67230e7372/summary","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"18","Acaena elongata",67,"https://www.gbif.org/species/5370941","https://catalogo.biodiversidad.co/file/56c408aaf0106c67230e7375/summary","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"19","Acaena ovalifolia",5,"https://www.gbif.org/species/5370651",NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"20","Acaena torilicarpa",1,"https://www.gbif.org/species/5371201",NA,"Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Acaena"
"21","Acalypha amentacea",1,"https://www.gbif.org/species/3057201",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"22","Acalypha arvensis",1,"https://www.gbif.org/species/3056742",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"23","Acalypha cuneata",4,"https://www.gbif.org/species/3056769",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"24","Acalypha diversifolia",78,"https://www.gbif.org/species/3056298",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"25","Acalypha glandulosa",34,"https://www.gbif.org/species/3056246",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"26","Acalypha hispida",2,"https://www.gbif.org/species/3056375","https://catalogo.biodiversidad.co/file/595a77f32f4fd7bc7f39e07c/summary","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"27","Acalypha inaequilatera",3,"https://www.gbif.org/species/3056555",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"28","Acalypha macrostachya",59,"https://www.gbif.org/species/3056437","https://catalogo.biodiversidad.co/file/595a7c9a2f4fd7bc7f39e11c/summary","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"29","Acalypha muelleriana",3,"https://www.gbif.org/species/3055984",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"30","Acalypha padifolia",48,"https://www.gbif.org/species/3057370",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"31","Acalypha platyphylla",4,"https://www.gbif.org/species/3056955",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","Acalypha"
"32","Acanthaegilips ashmeadi",5,"https://www.gbif.org/species/11502015",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Figitidae","Acanthaegilips"
"33","Acanthocereus tetragonus",5,"https://www.gbif.org/species/3084455","https://catalogo.biodiversidad.co/file/5fe4b3bfc0512fd6120b40d3/summary","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","Acanthocereus"
"34","Acanthoderes daviesii",1,"https://www.gbif.org/species/8413203",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Acanthoderes"
"35","Acanthoscelides obtectus",10,"https://www.gbif.org/species/1047525",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Acanthoscelides"
"36","Acanthospermum australe",1,"https://www.gbif.org/species/3100364",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acanthospermum"
"37","Acarospora chrysops",2,"https://www.gbif.org/species/2600504",NA,"Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","Acarospora"
"38","Acarospora xanthophana",2,"https://www.gbif.org/species/7249998",NA,"Fungi","Ascomycota","Lecanoromycetes","Acarosporales","Acarosporaceae","Acarospora"
"39","Acaulimalva acaulis",4,"https://www.gbif.org/species/3935061",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Acaulimalva"
"40","Acaulimalva purdiaei",15,"https://www.gbif.org/species/7519667",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Acaulimalva"
"41","Acaulimalva purdiei",6,"https://www.gbif.org/species/3934986",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Acaulimalva"
"42","Acaulimalva purpurea",14,"https://www.gbif.org/species/3934980",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Acaulimalva"
"43","Acaulimalva rauhii",1,"https://www.gbif.org/species/3934971",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Acaulimalva"
"44","Accipiter bicolor",18,"https://www.gbif.org/species/2480599","https://catalogo.biodiversidad.co/file/56be509ef0106c67230e72f3/summary","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"45","Accipiter collaris",2,"https://www.gbif.org/species/2480593","https://catalogo.biodiversidad.co/file/56d676f03c16479905cba90c/summary","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"46","Accipiter striatus",180,"https://www.gbif.org/species/9740253","https://catalogo.biodiversidad.co/file/56bcf0f6f0106c67230e72e8/summary","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"47","Accipiter superciliosus",8,"https://www.gbif.org/species/2480580","https://catalogo.biodiversidad.co/file/56e77d4a83c45700544e4049/summary","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Accipiter"
"48","Achillea millefolium",3,"https://www.gbif.org/species/3120060",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achillea"
"49","Achlyodes pallida",8,"https://www.gbif.org/species/1945476",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Achlyodes"
"50","Achyranthes aspera",2,"https://www.gbif.org/species/3085168",NA,"Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Achyranthes"
"51","Achyrocline alata",6,"https://www.gbif.org/species/3139547",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"52","Achyrocline bogotensis",77,"https://www.gbif.org/species/3139539",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"53","Achyrocline crassiceps",8,"https://www.gbif.org/species/3139563",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"54","Achyrocline lehmannii",37,"https://www.gbif.org/species/3139541",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"55","Achyrocline mollis",10,"https://www.gbif.org/species/3139587",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"56","Achyrocline satureioides",61,"https://www.gbif.org/species/3139534","https://catalogo.biodiversidad.co/file/5fe4092ef1c567b30853ce23/summary","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"57","Achyrocline trianae",1,"https://www.gbif.org/species/3139527",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"58","Achyrocline virescens",1,"https://www.gbif.org/species/3139566",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Achyrocline"
"59","Aciachne acicularis",39,"https://www.gbif.org/species/4140730",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aciachne"
"60","Aciachne pulvinata",6,"https://www.gbif.org/species/4140684",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Aciachne"
"61","Acianthera polystachya",8,"https://www.gbif.org/species/8385149",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acianthera"
"62","Acianthera pubescens",3,"https://www.gbif.org/species/2839728",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Acianthera"
"63","Acidodontium megalocarpum",25,"https://www.gbif.org/species/2677015",NA,"Plantae","Bryophyta","Bryopsida","Bryales","Bryaceae","Acidodontium"
"64","Aciotis acuminifolia",5,"https://www.gbif.org/species/3862481",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","Aciotis"
"65","Aciotis indecora",1,"https://www.gbif.org/species/3862080",NA,"Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","Aciotis"
"66","Aciotis purpurascens",11,"https://www.gbif.org/species/3861822","https://catalogo.biodiversidad.co/file/5957d5c52f4fd7bc7f39cb53/summary","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","Aciotis"
"67","Acmella brachyglossa",2,"https://www.gbif.org/species/5386734",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"68","Acmella ciliata",9,"https://www.gbif.org/species/5386775",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"69","Acmella radicans",1,"https://www.gbif.org/species/5386729",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"70","Acmella repens",3,"https://www.gbif.org/species/5386723",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"71","Acmella uliginosa",3,"https://www.gbif.org/species/5386720",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Acmella"
"72","Aconophora compressa",2,"https://www.gbif.org/species/2023722",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Membracidae","Aconophora"
"73","Acrobolbus cuneifolius",5,"https://www.gbif.org/species/9417040",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Acrobolbaceae","Acrobolbus"
"74","Acrobolbus laxus",7,"https://www.gbif.org/species/9629948",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Acrobolbaceae","Acrobolbus"
"75","Acrobolbus wilsonii",1,"https://www.gbif.org/species/2689300",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Acrobolbaceae","Acrobolbus"
"76","Acrocinus longimanus",1,"https://www.gbif.org/species/1118064",NA,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Acrocinus"
"77","Acrocomia aculeata",1,"https://www.gbif.org/species/2739148","https://catalogo.biodiversidad.co/file/56cd1fec207ecea54a561e62/summary","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","Acrocomia"
"78","Acrolejeunea torulosa",3,"https://www.gbif.org/species/5286328",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Porellales","Lejeuneaceae","Acrolejeunea"
"79","Acroleucus marinoi",1,"https://www.gbif.org/species/9082179",NA,"Animalia","Arthropoda","Insecta","Hemiptera","Lygaeidae","Acroleucus"
"80","Acromyrmex coronatus",101,"https://www.gbif.org/species/1320650",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex"
"81","Acromyrmex landolti",2,"https://www.gbif.org/species/1320702",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex"
"82","Acromyrmex octospinosus",17,"https://www.gbif.org/species/1320686",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex"
"83","Acromyrmex rugosus",1,"https://www.gbif.org/species/1320712",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Acromyrmex"
"84","Acroporium pungens",15,"https://www.gbif.org/species/2680969",NA,"Plantae","Bryophyta","Bryopsida","Hypnales","Sematophyllaceae","Acroporium"
"85","Acropternis orthonyx",6,"https://www.gbif.org/species/2490975",NA,"Animalia","Chordata","Aves","Passeriformes","Rhinocryptidae","Acropternis"
"86","Acrostalagmus luteoalbus",1,"https://www.gbif.org/species/2562043",NA,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Acrostalagmus"
"87","Actinostachys pennula",1,"https://www.gbif.org/species/2650564",NA,"Plantae","Tracheophyta","Polypodiopsida","Schizaeales","Schizaeaceae","Actinostachys"
"88","Actinote anteas",16,"https://www.gbif.org/species/1901001","https://catalogo.biodiversidad.co/file/56e718ac83c45700544e3eeb/summary","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Actinote"
"89","Actinote pellenea",18,"https://www.gbif.org/species/1901195",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Actinote"
"90","Actinote stratonice",12,"https://www.gbif.org/species/1901189",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Actinote"
"91","Actitis macularius",619,"https://www.gbif.org/species/2481798","https://catalogo.biodiversidad.co/file/56bcf0f6f0106c67230e72e9/summary","Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Actitis"
"92","Adelanthus lindenbergianus",1,"https://www.gbif.org/species/8025317",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Adelanthaceae","Adelanthus"
"93","Adelanthus pittieri",4,"https://www.gbif.org/species/8427371",NA,"Plantae","Marchantiophyta","Jungermanniopsida","Jungermanniales","Adelanthaceae","Adelanthus"
"94","Adelius excelsus",1,"https://www.gbif.org/species/10538566",NA,"Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","Adelius"
"95","Adelomyia melanogenys",528,"https://www.gbif.org/species/2476168","https://catalogo.biodiversidad.co/file/56bddf40f0106c67230e72ec/summary","Animalia","Chordata","Aves","Apodiformes","Trochilidae","Adelomyia"
"96","Adelonema picturatum",2,"https://www.gbif.org/species/9237146",NA,"Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Adelonema"
"97","Adelonema wendlandii",3,"https://www.gbif.org/species/9351504",NA,"Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Adelonema"
"98","Adelothecium bogotense",25,"https://www.gbif.org/species/2669647",NA,"Plantae","Bryophyta","Bryopsida","Hookeriales","Daltoniaceae","Adelothecium"
"99","Adelpha erotia",1,"https://www.gbif.org/species/9491874",NA,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis"
"100","Adenaria floribunda",13,"https://www.gbif.org/species/7286112","https://catalogo.biodiversidad.co/file/59724edb2f4fd7bc7f3a88c9/summary","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","Adenaria"
"101","Adenocalymma aspericarpum",12,"https://www.gbif.org/species/8188925",NA,"Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","Adenocalymma"
"102","Adenomera hylaedactyla",2,"https://www.gbif.org/species/2426128",NA,"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Adenomera"
"103","Adenophyllum cancellatum",4,"https://www.gbif.org/species/4208999",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Adenophyllum"
"104","Adenophyllum porophyllum",2,"https://www.gbif.org/species/3132238",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Adenophyllum"
"105","Adenostemma cuatrecasasii",5,"https://www.gbif.org/species/3094625",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Adenostemma"
"106","Adenostemma lavenia",1,"https://www.gbif.org/species/3132228",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Adenostemma"
"107","Adenostemma platyphyllum",1,"https://www.gbif.org/species/3094628",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Adenostemma"
"108","Adiantopsis lindigii",17,"https://www.gbif.org/species/3750136",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantopsis"
"109","Adiantopsis radiata",2,"https://www.gbif.org/species/7994273",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantopsis"
"110","Adiantum concinnum",3,"https://www.gbif.org/species/2651835","https://catalogo.biodiversidad.co/file/56ce3ba73c16479905cba794/summary","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"111","Adiantum grossum",1,"https://www.gbif.org/species/3749653",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"112","Adiantum latifolium",9,"https://www.gbif.org/species/2651837",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"113","Adiantum lucidum",2,"https://www.gbif.org/species/2651822",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"114","Adiantum macrophyllum",1,"https://www.gbif.org/species/2651850","https://catalogo.biodiversidad.co/file/56ce489e3c16479905cba798/summary","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"115","Adiantum obliquum",7,"https://www.gbif.org/species/2651838",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"116","Adiantum orbignyanum",2,"https://www.gbif.org/species/3746972",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"117","Adiantum patens",6,"https://www.gbif.org/species/3746675",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"118","Adiantum petiolatum",3,"https://www.gbif.org/species/2651824","https://catalogo.biodiversidad.co/file/56ce5a6b3c16479905cba79c/summary","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"119","Adiantum philippense",2,"https://www.gbif.org/species/3750161",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
"120","Adiantum poiretii",1,"https://www.gbif.org/species/7335733",NA,"Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","Adiantum"
