"","Especie","Registros","GBIF","CBC","Reino","Filo","Clase","Orden","Familia","Género"
"1","Aa leucantha",3,"https://www.gbif.org/species/5325274",NA,"Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","Aa"
"2","Abapeba kochi",1,"https://www.gbif.org/species/2149174",NA,"Animalia","Arthropoda","Arachnida","Araneae","Corinnidae","Abapeba"
"3","Abatia parviflora",180,"https://www.gbif.org/species/3878235",NA,"Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","Abatia"
"4","Abildgaardia ovata",4,"https://www.gbif.org/species/2708407",NA,"Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Abildgaardia"
"5","Abracris flavolineata",19,"https://www.gbif.org/species/1703595",NA,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Abracris"
"6","Abrodictyum rigidum",2,"https://www.gbif.org/species/3606920",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Abrodictyum"
"7","Abrodictyum sprucei",10,"https://www.gbif.org/species/3606899",NA,"Plantae","Tracheophyta","Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Abrodictyum"
"8","Abrothallus eriodermae",1,"https://www.gbif.org/species/8266958",NA,"Fungi","Ascomycota","Dothideomycetes","Abrothallales","Abrothallaceae","Abrothallus"
"9","Abrus precatorius",8,"https://www.gbif.org/species/5348711","https://catalogo.biodiversidad.co/file/595d28022f4fd7bc7f3a14dc/summary","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Abrus"
"10","Aburria aburri",96,"https://www.gbif.org/species/2482313",NA,"Animalia","Chordata","Aves","Galliformes","Cracidae","Aburria"
"11","Abuta grandifolia",6,"https://www.gbif.org/species/3830518",NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Menispermaceae","Abuta"
"12","Abutilon giganteum",19,"https://www.gbif.org/species/7279377",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"13","Abutilon ibarrense",3,"https://www.gbif.org/species/3938275",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"14","Abutilon striatum",1,"https://www.gbif.org/species/7843124",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"15","Abutilon viscosum",10,"https://www.gbif.org/species/7744393",NA,"Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","Abutilon"
"16","Acacia baileyana",105,"https://www.gbif.org/species/2981303",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"17","Acacia dealbata",31,"https://www.gbif.org/species/2979474",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"18","Acacia decurrens",12582,"https://www.gbif.org/species/2979778","https://catalogo.biodiversidad.co/file/56c3d1e2f0106c67230e7360/summary","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"19","Acacia floribunda",1,"https://www.gbif.org/species/2979745",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"20","Acacia longifolia",4,"https://www.gbif.org/species/2978730",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"21","Acacia mearnsii",3,"https://www.gbif.org/species/2979775",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"22","Acacia melanoxylon",2785,"https://www.gbif.org/species/2979000","https://catalogo.biodiversidad.co/file/595e5f352f4fd7bc7f3a210a/summary","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"23","Acacia retinodes",3,"https://www.gbif.org/species/2979408",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
"24","Acacia striata",1,"https://www.gbif.org/species/2980724",NA,"Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Acacia"
